time;program;event;period;
21568.198761;swapper;task-clock;1000000;
21568.198843;burner;cycles;5895523;
21568.198847;burner;task-clock;1000000;
21568.198903;burner;branches;946169;
21568.198939;burner;branches;338848;
21568.199008;burner;task-clock;1000000;
21568.199079;burner;instructions;4090064;
21568.199686;burner;branches;1017785;
21568.199762;swapper;task-clock;1000000;
21568.199847;burner;task-clock;1000000;
21568.199853;burner;branches;320428;
21568.199894;burner;instructions;4336026;
21568.200009;burner;task-clock;1000000;
21568.200516;burner;branches;1053075;
21568.200747;burner;instructions;4459364;
21568.200761;swapper;task-clock;1000000;
21568.200772;burner;branches;324185;
21568.200827;burner;cycles;5176528;
21568.200847;burner;task-clock;1000000;
21568.201008;burner;task-clock;1000000;
21568.201219;burner;branches;327747;
21568.201369;burner;branches;1080029;
21568.201622;burner;instructions;4555342;
21568.201761;swapper;task-clock;1000000;
21568.201847;burner;task-clock;1000000;
21568.202008;burner;task-clock;1000000;
21568.202241;burner;branches;1103360;
21568.202511;burner;instructions;4636586;
21568.202564;burner;cycles;4855477;
21568.202761;swapper;task-clock;1000000;
21568.202847;burner;task-clock;1000000;
21568.203008;burner;task-clock;1000000;
21568.203133;burner;branches;1123658;
21568.203395;perf;cpu-migrations;1;
21568.203404;rcu_sched;context-switches;13;
21568.203406;burner;cpu-migrations;1;
21568.20376;burner;task-clock;1000000;
21568.203847;burner;task-clock;1000000;
21568.204016;swapper;task-clock;1000000;
21568.20476;burner;task-clock;1000000;
21568.204847;burner;task-clock;1000000;
21568.205016;swapper;task-clock;1000000;
21568.20576;burner;task-clock;1000000;
21568.205847;burner;task-clock;1000000;
21568.206015;swapper;task-clock;1000000;
21568.206153;burner;cycles;3311573;
21568.206406;burner;cycles;3525113;
21568.20676;burner;task-clock;1000000;
21568.206847;burner;task-clock;1000000;
21568.207016;swapper;task-clock;1000000;
21568.207262;burner;cycles;3311573;
21568.207589;burner;cycles;3286672;
21568.20776;burner;task-clock;1000000;
21568.207847;burner;task-clock;1000000;
21568.208015;swapper;task-clock;1000000;
21568.208372;burner;cycles;3065960;
21568.208685;Xorg;cpu-migrations;1;
21568.208688;burner;cycles;3223421;
21568.20876;burner;task-clock;1000000;
21568.208781;Xorg;instructions;4165052;
21568.208847;burner;task-clock;1000000;
21568.209418;burner;cycles;3028055;
21568.20976;burner;task-clock;1000000;
21568.209785;burner;cycles;3186907;
21568.209847;burner;task-clock;1000000;
21568.20997;burner;instructions;4458475;
21568.210016;swapper;task-clock;1000000;
21568.210028;burner;instructions;3157275;
21568.210434;burner;cycles;3011466;
21568.210652;burner;instructions;3157275;
21568.21076;burner;task-clock;1000000;
21568.210846;burner;instructions;4458475;
21568.210848;burner;task-clock;1000000;
21568.210856;burner;cycles;3151548;
21568.211016;swapper;task-clock;1000000;
21568.211279;burner;instructions;3395451;
21568.211395;rcu_sched;cpu-migrations;1;
21568.211448;burner;cycles;3000720;
21568.211746;burner;instructions;4301125;
21568.21176;burner;task-clock;1000000;
21568.211847;burner;task-clock;1000000;
21568.211917;burner;cycles;3105791;
21568.211962;burner;instructions;3522702;
21568.212015;swapper;task-clock;1000000;
21568.212456;burner;cycles;2995507;
21568.212595;burner;instructions;4361175;
21568.212656;burner;instructions;3726885;
21568.21276;burner;task-clock;1000000;
21568.212847;burner;task-clock;1000000;
21568.212961;burner;cycles;3083717;
21568.213016;swapper;task-clock;1000000;
21568.213414;burner;instructions;3931937;
21568.213478;burner;branches;378442;
21568.213482;burner;instructions;4457942;
21568.213484;burner;cycles;2992574;
21568.213597;burner;branches;767222;
21568.213761;burner;task-clock;1000000;
21568.213788;burner;branches;378442;
21568.213847;burner;task-clock;1000000;
21568.214016;swapper;task-clock;1000000;
21568.21402;burner;cycles;3067565;
21568.214099;burner;branches;483238;
21568.214199;burner;instructions;4088920;
21568.214225;burner;branches;767222;
21568.21437;burner;instructions;4528714;
21568.214492;burner;cycles;2982203;
21568.2145;burner;branches;617170;
21568.214761;burner;task-clock;1000000;
21568.214847;burner;task-clock;1000000;
21568.214855;burner;branches;823860;
21568.215005;burner;branches;733023;
21568.215014;burner;instructions;4228937;
21568.215015;swapper;task-clock;1000000;
21568.215052;burner;cycles;3046310;
21568.21527;burner;instructions;4600364;
21568.2155;burner;cycles;2976562;
21568.21557;burner;branches;852882;
21568.21564;burner;branches;827152;
21568.215761;burner;task-clock;1000000;
21568.215847;burner;task-clock;1000000;
21568.215886;burner;instructions;4430523;
21568.216015;swapper;task-clock;1000000;
21568.216081;burner;cycles;3024433;
21568.216218;burner;instructions;4705331;
21568.216271;burner;branches;895396;
21568.216316;burner;branches;886787;
21568.216503;burner;cycles;2973675;
21568.216761;burner;task-clock;1000000;
21568.216762;burner;instructions;4511853;
21568.216847;burner;task-clock;1000000;
21568.217006;burner;branches;943086;
21568.217015;swapper;task-clock;1000000;
21568.217049;burner;branches;939900;
21568.217101;burner;cycles;3013837;
21568.21716;burner;instructions;4737427;
21568.217521;burner;cycles;2972737;
21568.217681;burner;instructions;4592226;
21568.21776;burner;task-clock;1000000;
21568.217804;burner;branches;985789;
21568.21784;burner;branches;982665;
21568.217846;burner;task-clock;1000000;
21568.218016;swapper;task-clock;1000000;
21568.218117;burner;instructions;4773609;
21568.218136;burner;cycles;3006382;
21568.21852;burner;cycles;2966165;
21568.218591;burner;instructions;4642802;
21568.218608;burner;branches;1016869;
21568.218648;burner;branches;1014999;
21568.21876;burner;task-clock;1000000;
21568.218847;burner;task-clock;1000000;
21568.219016;swapper;task-clock;1000000;
21568.219063;burner;instructions;4800476;
21568.219111;node;cpu-migrations;1;
21568.219147;burner;cycles;2993665;
21568.219469;burner;branches;1066601;
21568.219492;burner;branches;1065074;
21568.219523;burner;cycles;2965050;
21568.219531;burner;instructions;4734374;
21568.21976;burner;task-clock;1000000;
21568.219846;burner;task-clock;1000000;
21568.220016;swapper;task-clock;1000000;
21568.220037;burner;instructions;4849764;
21568.22016;burner;cycles;2984987;
21568.220344;burner;branches;1088105;
21568.220362;burner;branches;1089669;
21568.220465;burner;instructions;4771661;
21568.220521;burner;cycles;2964155;
21568.220762;burner;task-clock;1000000;
21568.220847;burner;task-clock;1000000;
21568.221002;burner;instructions;4866467;
21568.221016;swapper;task-clock;1000000;
21568.221165;burner;cycles;2980291;
21568.221241;burner;branches;1107619;
21568.22126;burner;branches;1110089;
21568.221439;burner;instructions;4814104;
21568.221539;burner;cycles;2964730;
21568.22176;burner;task-clock;1000000;
21568.221846;burner;task-clock;1000000;
21568.221993;burner;instructions;4888047;
21568.222016;swapper;task-clock;1000000;
21568.22217;burner;branches;1123459;
21568.22219;burner;cycles;2978608;
21568.222192;burner;branches;1125783;
21568.222391;burner;instructions;4830282;
21568.222537;burner;cycles;2958146;
21568.22276;burner;task-clock;1000000;
21568.222847;burner;task-clock;1000000;
21568.222964;burner;instructions;4893530;
21568.223015;swapper;task-clock;1000000;
21568.223096;burner;branches;1134166;
21568.223117;burner;branches;1136128;
21568.223193;burner;cycles;2969185;
21568.223352;burner;instructions;4860734;
21568.223536;burner;cycles;2957972;
21568.22376;burner;task-clock;1000000;
21568.223846;burner;task-clock;1000000;
21568.223957;burner;instructions;4920148;
21568.224015;swapper;task-clock;1000000;
21568.224045;burner;branches;1152966;
21568.224062;burner;branches;1154756;
21568.224197;burner;cycles;2965802;
21568.224327;burner;instructions;4897890;
21568.22453;burner;cycles;2958309;
21568.22476;burner;task-clock;1000000;
21568.224847;burner;task-clock;1000000;
21568.224933;burner;instructions;4924763;
21568.224993;burner;branches;1160559;
21568.225012;burner;branches;1163237;
21568.225015;swapper;task-clock;1000000;
21568.225194;burner;cycles;2964434;
21568.225325;burner;instructions;4913505;
21568.22576;burner;task-clock;1000000;
21568.225847;burner;task-clock;1000000;
21568.225933;burner;instructions;4939458;
21568.225966;burner;branches;1168659;
21568.225984;burner;branches;1170934;
21568.226015;swapper;task-clock;1000000;
21568.226294;burner;instructions;4914617;
21568.22676;burner;task-clock;1000000;
21568.226846;burner;task-clock;1000000;
21568.226905;burner;instructions;4939610;
21568.226917;burner;branches;1172562;
